DataSize(Bytes),Pageable_H2D(MB/s),Pageable_D2H(MB/s),Pinned_H2D(MB/s),Pinned_D2H(MB/s),Mapped_H2D(MB/s),Mapped_D2H(MB/s)
72704,3446.12,1785.9,4290.59,4590.57,3531.78,6708.2
73216,3323.7,1781.59,4316.53,4746.07,3532.18,6652.46
73728,3454.82,1767.71,4363.98,4695.01,3581.52,6683.7
74240,3509.16,1817.27,4389.93,4692.52,3568.59,6609.48
74752,3476.84,1786.87,4413.64,4745.01,3591.75,6630.31
75264,3511.61,1774.91,4144.19,4668.14,3524.03,6655.91
75776,3445.16,1777.14,4434.56,4822.85,3619.07,6832.98
76288,3544.13,1825.79,4466.72,4758.89,3656.71,6915.77
76800,3525.33,1845.82,4509.99,4826.19,3666.51,6827.2
77312,3580.54,1829.36,4504.55,4853.24,3584.72,6842.1
77824,3536.92,1892.18,4554.42,4852.17,3719.87,6897.65
78336,3627.96,1838.63,4573.15,4904.61,3611.13,6781.68
78848,3476.11,1905.42,4603.04,4742.39,3697.65,6830.97
79360,3593.03,1868.18,4530.87,4639.75,3638.63,6875.33
79872,3525.17,1808.79,4531.88,4857.9,3747.14,6743.26
80384,3551.71,1871.22,4565.28,4884.06,3631.12,6659.15
80896,3668.15,1785.84,4616.35,5038.43,3687.78,6849.12
81408,3523.82,1876.73,4551.87,4679.17,3691.36,6739.3
81920,3444.67,1885.98,4554.86,4863.36,3700.5,6767.58
82432,3698.4,1916.65,4648.37,5062.68,3730.7,6725.98
82944,3637.86,1958.35,4670.62,4890.06,3813.23,6717.18
83456,3637.56,1944.63,4633.78,5045,3755.66,6758.65
83968,3592.88,1942.89,4743.96,5035.09,3801.66,6758.79
84480,3604.44,1943.79,4761.61,5114.68,3764.79,6809.2
84992,3693.71,1949.55,4741.15,5008.32,3741.45,6736.59
85504,3722.74,1971.54,4725.49,4996.51,3702.46,6777.17
86016,3735.49,1997.25,5028.89,5155.31,3840.41,6817.76
86528,3757.72,1997.47,4817.81,5167.81,3796.45,6853.78
87040,3773.08,1999.22,4832.78,5203.6,3791,6772.83
87552,3784.27,1978.96,5010.57,5263.24,3834.32,6830.5
88064,3813.31,1940.85,4824.47,5179.11,3813.31,6861.47
88576,3755.01,1989.28,4836.96,4973.66,3781.91,6747.02
