,block_id,thread_id,coordinate,value
2923,"(00,00)","(11,17)","(11,17)",1099
2155,"(00,00)","(11,18)","(11,18)",1163
1099,"(00,00)","(11,19)","(11,19)",1227
1035,"(00,00)","(11,20)","(11,20)",1291
1771,"(00,00)","(11,21)","(11,21)",1355
1451,"(00,00)","(11,22)","(11,22)",1419
843,"(00,00)","(11,23)","(11,23)",1483
1131,"(00,00)","(11,24)","(11,24)",1547
1675,"(00,00)","(11,25)","(11,25)",1611
331,"(00,00)","(11,26)","(11,26)",1675
235,"(00,00)","(11,27)","(11,27)",1739
43,"(00,00)","(11,28)","(11,28)",1803
459,"(00,00)","(11,29)","(11,29)",1867
1323,"(00,00)","(11,30)","(11,30)",1931
171,"(00,00)","(11,31)","(11,31)",1995
4044,"(00,00)","(12,00)","(12,00)",12
3788,"(00,00)","(12,01)","(12,01)",76
4012,"(00,00)","(12,02)","(12,02)",140
2028,"(00,00)","(12,03)","(12,03)",204
3468,"(00,00)","(12,04)","(12,04)",268
3724,"(00,00)","(12,05)","(12,05)",332
3980,"(00,00)","(12,06)","(12,06)",396
1996,"(00,00)","(12,07)","(12,07)",460
2700,"(00,00)","(12,08)","(12,08)",524
3692,"(00,00)","(12,09)","(12,09)",588
3244,"(00,00)","(12,10)","(12,10)",652
1964,"(00,00)","(12,11)","(12,11)",716
2444,"(00,00)","(12,12)","(12,12)",780
2988,"(00,00)","(12,13)","(12,13)",844
2412,"(00,00)","(12,14)","(12,14)",908
1068,"(00,00)","(12,15)","(12,15)",972
2252,"(00,00)","(12,16)","(12,16)",1036
2924,"(00,00)","(12,17)","(12,17)",1100
2156,"(00,00)","(12,18)","(12,18)",1164
1100,"(00,00)","(12,19)","(12,19)",1228
1036,"(00,00)","(12,20)","(12,20)",1292
1772,"(00,00)","(12,21)","(12,21)",1356
1452,"(00,00)","(12,22)","(12,22)",1420
844,"(00,00)","(12,23)","(12,23)",1484
1132,"(00,00)","(12,24)","(12,24)",1548
1676,"(00,00)","(12,25)","(12,25)",1612
332,"(00,00)","(12,26)","(12,26)",1676
236,"(00,00)","(12,27)","(12,27)",1740
44,"(00,00)","(12,28)","(12,28)",1804
460,"(00,00)","(12,29)","(12,29)",1868
1324,"(00,00)","(12,30)","(12,30)",1932
172,"(00,00)","(12,31)","(12,31)",1996
4045,"(00,00)","(13,00)","(13,00)",13
3789,"(00,00)","(13,01)","(13,01)",77
4013,"(00,00)","(13,02)","(13,02)",141
2029,"(00,00)","(13,03)","(13,03)",205
3469,"(00,00)","(13,04)","(13,04)",269
3725,"(00,00)","(13,05)","(13,05)",333
3981,"(00,00)","(13,06)","(13,06)",397
1997,"(00,00)","(13,07)","(13,07)",461
2701,"(00,00)","(13,08)","(13,08)",525
3693,"(00,00)","(13,09)","(13,09)",589
3245,"(00,00)","(13,10)","(13,10)",653
1965,"(00,00)","(13,11)","(13,11)",717
2445,"(00,00)","(13,12)","(13,12)",781
2989,"(00,00)","(13,13)","(13,13)",845
2413,"(00,00)","(13,14)","(13,14)",909
1069,"(00,00)","(13,15)","(13,15)",973
2253,"(00,00)","(13,16)","(13,16)",1037
2925,"(00,00)","(13,17)","(13,17)",1101
2157,"(00,00)","(13,18)","(13,18)",1165
1101,"(00,00)","(13,19)","(13,19)",1229
1037,"(00,00)","(13,20)","(13,20)",1293
1773,"(00,00)","(13,21)","(13,21)",1357
1453,"(00,00)","(13,22)","(13,22)",1421
845,"(00,00)","(13,23)","(13,23)",1485
1133,"(00,00)","(13,24)","(13,24)",1549
1677,"(00,00)","(13,25)","(13,25)",1613
333,"(00,00)","(13,26)","(13,26)",1677
237,"(00,00)","(13,27)","(13,27)",1741
45,"(00,00)","(13,28)","(13,28)",1805
461,"(00,00)","(13,29)","(13,29)",1869
1325,"(00,00)","(13,30)","(13,30)",1933
173,"(00,00)","(13,31)","(13,31)",1997
4046,"(00,00)","(14,00)","(14,00)",14
3790,"(00,00)","(14,01)","(14,01)",78
4014,"(00,00)","(14,02)","(14,02)",142
2030,"(00,00)","(14,03)","(14,03)",206
3470,"(00,00)","(14,04)","(14,04)",270
3726,"(00,00)","(14,05)","(14,05)",334
3982,"(00,00)","(14,06)","(14,06)",398
1998,"(00,00)","(14,07)","(14,07)",462
2702,"(00,00)","(14,08)","(14,08)",526
3694,"(00,00)","(14,09)","(14,09)",590
3246,"(00,00)","(14,10)","(14,10)",654
1966,"(00,00)","(14,11)","(14,11)",718
2446,"(00,00)","(14,12)","(14,12)",782
2990,"(00,00)","(14,13)","(14,13)",846
2414,"(00,00)","(14,14)","(14,14)",910
1070,"(00,00)","(14,15)","(14,15)",974
2254,"(00,00)","(14,16)","(14,16)",1038
2926,"(00,00)","(14,17)","(14,17)",1102
2158,"(00,00)","(14,18)","(14,18)",1166
1102,"(00,00)","(14,19)","(14,19)",1230
1038,"(00,00)","(14,20)","(14,20)",1294
1774,"(00,00)","(14,21)","(14,21)",1358
1454,"(00,00)","(14,22)","(14,22)",1422
846,"(00,00)","(14,23)","(14,23)",1486
1134,"(00,00)","(14,24)","(14,24)",1550
1678,"(00,00)","(14,25)","(14,25)",1614
334,"(00,00)","(14,26)","(14,26)",1678
238,"(00,00)","(14,27)","(14,27)",1742
46,"(00,00)","(14,28)","(14,28)",1806
462,"(00,00)","(14,29)","(14,29)",1870
1326,"(00,00)","(14,30)","(14,30)",1934
174,"(00,00)","(14,31)","(14,31)",1998
4047,"(00,00)","(15,00)","(15,00)",15
3791,"(00,00)","(15,01)","(15,01)",79
4015,"(00,00)","(15,02)","(15,02)",143
2031,"(00,00)","(15,03)","(15,03)",207
3471,"(00,00)","(15,04)","(15,04)",271
3727,"(00,00)","(15,05)","(15,05)",335
3983,"(00,00)","(15,06)","(15,06)",399
1999,"(00,00)","(15,07)","(15,07)",463
2703,"(00,00)","(15,08)","(15,08)",527
3695,"(00,00)","(15,09)","(15,09)",591
3247,"(00,00)","(15,10)","(15,10)",655
1967,"(00,00)","(15,11)","(15,11)",719
2447,"(00,00)","(15,12)","(15,12)",783
2991,"(00,00)","(15,13)","(15,13)",847
2415,"(00,00)","(15,14)","(15,14)",911
1071,"(00,00)","(15,15)","(15,15)",975
2255,"(00,00)","(15,16)","(15,16)",1039
2927,"(00,00)","(15,17)","(15,17)",1103
2159,"(00,00)","(15,18)","(15,18)",1167
1103,"(00,00)","(15,19)","(15,19)",1231
1039,"(00,00)","(15,20)","(15,20)",1295
1775,"(00,00)","(15,21)","(15,21)",1359
1455,"(00,00)","(15,22)","(15,22)",1423
847,"(00,00)","(15,23)","(15,23)",1487
1135,"(00,00)","(15,24)","(15,24)",1551
1679,"(00,00)","(15,25)","(15,25)",1615
335,"(00,00)","(15,26)","(15,26)",1679
